Job ID,Company Name,Location,Post Date,No. Applicants,No. Employees,Salary,Original Salary,URL
853,Robert Half,Charlotte Metro,6 days ago,100+,"10,001+",45.0,$45/hr - $65/hr,https://www.linkedin.com/jobs/view/data-analyst-at-robert-half-3942854376
857,Spot Pet Insurance,Florida,1 week ago,100+,11-50,,,https://www.linkedin.com/jobs/view/data-analyst-at-spot-pet-insurance-3937763154
862,eimagine,United States,15 hours ago,100+,51-200,,,https://www.linkedin.com/jobs/view/business-data-analyst-at-eimagine-3947602823
879,FPC - FORTUNE PERSONNEL CONSULTANTS (Orlando Office),Indiana,1 day ago,100+,1-10,60000.0,$60K/yr - $80K/yr,https://www.linkedin.com/jobs/view/data-analyst-entry-level-0-5-years-experience-at-fpc-fortune-personnel-consultants-orlando-office-3947153089
885,Motion Recruitment,Georgia,1 day ago,100+,"501-1,000",30.0,$30/hr - $37/hr,https://www.linkedin.com/jobs/view/data-analyst-at-motion-recruitment-3947164397
896,Bernard Nickels & Associates,Texas,40 minutes ago,31 applicants,51-200,26.0,$26/hr - $42/hr,https://www.linkedin.com/jobs/view/data-analyst-at-bernard-nickels-associates-3948084986
903,Yes Energy,Colorado,5 days ago,62 applicants,51-200,23.0,$23/hr - $27/hr,https://www.linkedin.com/jobs/view/part-time-data-analyst-at-yes-energy-3941356308
906,Crocs,Colorado,22 hours ago,100+,"5,001-10,000",100000.0,$100K/yr - $110K/yr,https://www.linkedin.com/jobs/view/business-intelligence-analyst-at-crocs-3943093402
911,"Global Team Staffing, LLC",Maryland,4 days ago,100+,11-50,,,https://www.linkedin.com/jobs/view/junior-data-analyst-remote-at-global-team-staffing-llc-3943827632
922,Engtal,United States,1 week ago,100+,11-50,90000.0,$90K/yr - $115K/yr,https://www.linkedin.com/jobs/view/data-analyst-entry-level-at-engtal-3936949327
935,CornerStone Technology Talent Services,Texas,1 week ago,100+,51-200,,,https://www.linkedin.com/jobs/view/data-analyst-at-cornerstone-technology-talent-services-3937855344
938,"Akraya, Inc.",United States,1 week ago,100+,201-500,55.0,$55/hr - $65/hr,https://www.linkedin.com/jobs/view/data-analyst-24-01478-at-akraya-inc-3938195938
945,Mitchell Martin Inc.,Virginia,1 day ago,100+,"501-1,000",,,https://www.linkedin.com/jobs/view/data-analyst-at-mitchell-martin-inc-3943046837
967,Luxoft,District of Columbia,5 days ago,100+,"10,001+",,,https://www.linkedin.com/jobs/view/data-analyst-at-luxoft-3943447868
973,Charlottes Coffee House,Iowa,5 days ago,100+,51-200,,,https://www.linkedin.com/jobs/view/data-entry-analyst-at-charlottes-coffee-house-3943778789
1017,SuperAnnotate,United States,5 days ago,100+,51-200,40000.0,$40K/yr - $60K/yr,https://www.linkedin.com/jobs/view/operations-data-analyst-at-superannotate-3943431062
1021,"Pyramid Consulting, Inc",Virginia,1 week ago,100+,"5,001-10,000",40.0,$40/hr - $45/hr,https://www.linkedin.com/jobs/view/junior-data-analyst-sql-at-pyramid-consulting-inc-3942375187
1068,Syntricate Technologies,Virginia,1 month ago,100+,51-200,,,https://www.linkedin.com/jobs/view/data-analyst-at-syntricate-technologies-3914565378
1078,Optomi,Maryland,1 day ago,100+,"501-1,000",56.0,$56/hr - $66/hr,https://www.linkedin.com/jobs/view/data-analyst-at-optomi-3943066424
1096,Master Builders Solutions,Ohio,2 hours ago,18 applicants,"1,001-5,000",,,https://www.linkedin.com/jobs/view/data-analyst-digital-team-at-master-builders-solutions-3946688483
1102,GSquared Group,Georgia,1 week ago,100+,11-50,,,https://www.linkedin.com/jobs/view/data-analyst-at-gsquared-group-3938002397
1133,Unisys,Connecticut,1 week ago,100+,"10,001+",40.0,$40/hr,https://www.linkedin.com/jobs/view/data-analyst-at-unisys-3940956288
1142,Apex Systems,United States,1 week ago,100+,"1,001-5,000",30.0,$30/hr - $35/hr,https://www.linkedin.com/jobs/view/data-analyst-at-apex-systems-3939094846
1156,Get It Recruit - Information Technology,Florida,1 week ago,25 applicants,1-10,60000.0,$60K/yr - $62K/yr,https://www.linkedin.com/jobs/view/junior-data-analyst-remote-wfh-at-get-it-recruit-information-technology-3938890920
